signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
scanner:GS:big_move:2026-07-15,scanner,GS,big_move,2026-07-15,US,20,-9.9699,2.3423,-12.3122
scanner:GS:volume_spike:2026-07-15,scanner,GS,volume_spike,2026-07-15,US,20,-9.9699,2.3423,-12.3122
scanner:MS:volume_spike:2026-07-15,scanner,MS,volume_spike,2026-07-15,US,20,-4.2494,2.3423,-6.5917
scanner:SIVE.ST:big_move:2026-07-15,scanner,SIVE.ST,big_move,2026-07-15,SE,20,2.118,4.1449,-2.0269
scanner:CSCO:big_move:2026-07-15,scanner,CSCO,big_move,2026-07-15,US,20,10.8348,2.3423,8.4924
scanner:AMD:big_move:2026-07-15,scanner,AMD,big_move,2026-07-15,US,20,-8.733,2.3423,-11.0754
pead:JPM:entry:2026-07-15,pead,JPM,entry,2026-07-15,US,20,5.2665,2.3423,2.9242
pead:BAC:entry:2026-07-15,pead,BAC,entry,2026-07-15,US,20,5.2281,2.3423,2.8858
pead:GS:entry:2026-07-15,pead,GS,entry,2026-07-15,US,20,-9.9699,2.3423,-12.3122
pead:MS:entry:2026-07-15,pead,MS,entry,2026-07-15,US,20,-4.2494,2.3423,-6.5917
scanner:SPRINT.ST:big_move:2026-07-16,scanner,SPRINT.ST,big_move,2026-07-16,SE,20,-10.4839,3.9689,-14.4527
scanner:HTRO.ST:volume_spike:2026-07-16,scanner,HTRO.ST,volume_spike,2026-07-16,SE,20,-8.4544,4.1892,-12.6436
scanner:SIVE.ST:big_move:2026-07-16,scanner,SIVE.ST,big_move,2026-07-16,SE,20,16.0764,3.9689,12.1076
scanner:ABB.ST:volume_spike:2026-07-16,scanner,ABB.ST,volume_spike,2026-07-16,SE,20,4.9391,4.1892,0.7499
scanner:BOOZT.ST:volume_spike:2026-07-16,scanner,BOOZT.ST,volume_spike,2026-07-16,SE,20,1.5066,4.1892,-2.6826
scanner:ACCON.ST:volume_spike:2026-07-16,scanner,ACCON.ST,volume_spike,2026-07-16,SE,20,-3.8283,3.9689,-7.7972
scanner:NOKIA-SEK.ST:big_move:2026-07-16,scanner,NOKIA-SEK.ST,big_move,2026-07-16,SE,20,1.4789,4.1892,-2.7103
scanner:UNH:volume_spike:2026-07-16,scanner,UNH,volume_spike,2026-07-16,US,20,-5.7443,3.6179,-9.3621
scanner:AMD:big_move:2026-07-16,scanner,AMD,big_move,2026-07-16,US,20,-3.5793,3.6179,-7.1971
pead:UNH:entry:2026-07-16,pead,UNH,entry,2026-07-16,US,20,-5.7443,3.6179,-9.3621
pead:GE:entry:2026-07-16,pead,GE,entry,2026-07-16,US,20,4.3126,3.6179,0.6947
pead:BUFAB.ST:entry:2026-07-16,pead,BUFAB.ST,entry,2026-07-16,SE,20,-4.3042,3.9689,-8.273
pead:CAMX.ST:entry:2026-07-16,pead,CAMX.ST,entry,2026-07-16,SE,20,-0.7042,4.1892,-4.8934
pead:CLA-B.ST:entry:2026-07-16,pead,CLA-B.ST,entry,2026-07-16,SE,20,-0.6306,3.9689,-4.5995
pead:EPEN.ST:entry:2026-07-16,pead,EPEN.ST,entry,2026-07-16,SE,20,-6.7164,3.9689,-10.6853
pead:GRNG.ST:entry:2026-07-16,pead,GRNG.ST,entry,2026-07-16,SE,20,3.4212,3.9689,-0.5477
pead:HTRO.ST:entry:2026-07-16,pead,HTRO.ST,entry,2026-07-16,SE,20,-8.4544,4.1892,-12.6436
pead:INDT.ST:entry:2026-07-16,pead,INDT.ST,entry,2026-07-16,SE,20,-5.5686,4.1892,-9.7578
pead:INWI.ST:entry:2026-07-16,pead,INWI.ST,entry,2026-07-16,SE,20,-0.2298,4.1892,-4.419
pead:MIPS.ST:entry:2026-07-16,pead,MIPS.ST,entry,2026-07-16,SE,20,12.3953,3.9689,8.4264
pead:PACT.ST:entry:2026-07-16,pead,PACT.ST,entry,2026-07-16,SE,20,-2.9457,3.9689,-6.9146
pead:PEAB-B.ST:entry:2026-07-16,pead,PEAB-B.ST,entry,2026-07-16,SE,20,3.3999,3.9689,-0.569
pead:TROAX.ST:entry:2026-07-16,pead,TROAX.ST,entry,2026-07-16,SE,20,-2.6536,4.1892,-6.8428
pead:VITR.ST:entry:2026-07-16,pead,VITR.ST,entry,2026-07-16,SE,20,-4.8679,4.1892,-9.0572
breakout:JBHT:breakout:2026-07-16,breakout,JBHT,breakout,2026-07-16,US,20,-5.2323,3.6179,-8.8502
breakout:KAMBI.ST:breakout:2026-07-16,breakout,KAMBI.ST,breakout,2026-07-16,SE,20,8.2635,4.1892,4.0743
scanner:NOKIA-SEK.ST:big_move:2026-07-17,scanner,NOKIA-SEK.ST,big_move,2026-07-17,SE,20,3.995,4.0541,-0.0591
scanner:ACCON.ST:volume_spike:2026-07-17,scanner,ACCON.ST,volume_spike,2026-07-17,SE,20,9.1275,3.793,5.3345
scanner:SIVE.ST:big_move:2026-07-17,scanner,SIVE.ST,big_move,2026-07-17,SE,20,22.1625,3.793,18.3695
scanner:ABB.ST:big_move:2026-07-17,scanner,ABB.ST,big_move,2026-07-17,SE,20,2.7931,4.0541,-1.261
scanner:VOLV-B.ST:volume_spike:2026-07-17,scanner,VOLV-B.ST,volume_spike,2026-07-17,SE,20,0.3244,4.0541,-3.7297
