signal_id,module,ticker,kind,date,market,horizon,ret,bench,excess
pead:AQ.ST:entry:2026-07-14,pead,AQ.ST,entry,2026-07-14,SE,1,-2.6667,-0.3772,-2.2895
pead:LIME.ST:entry:2026-07-14,pead,LIME.ST,entry,2026-07-14,SE,1,0.0,-0.3772,0.3772
pead:MYCR.ST:entry:2026-07-14,pead,MYCR.ST,entry,2026-07-14,SE,1,1.8868,-0.3772,2.264
breakout:MYCR.ST:breakout:2026-07-14,breakout,MYCR.ST,breakout,2026-07-14,SE,1,1.8868,-0.3772,2.264
scanner:SIVE.ST:big_move:2026-07-09,scanner,SIVE.ST,big_move,2026-07-09,SE,5,-14.8804,-1.1574,-13.723
scanner:CHEF.ST:big_move:2026-07-09,scanner,CHEF.ST,big_move,2026-07-09,SE,5,1.5504,-1.1574,2.7078
scanner:SIVE.ST:volume_spike:2026-07-09,scanner,SIVE.ST,volume_spike,2026-07-09,SE,5,-14.8804,-1.1574,-13.723
scanner:SPRINT.ST:volume_spike:2026-07-09,scanner,SPRINT.ST,volume_spike,2026-07-09,SE,5,-2.1053,-1.1574,-0.9478
scanner:ABB.ST:volume_spike:2026-07-09,scanner,ABB.ST,volume_spike,2026-07-09,SE,5,-7.7515,-1.1574,-6.5941
scanner:NOKIA-SEK.ST:big_move:2026-07-09,scanner,NOKIA-SEK.ST,big_move,2026-07-09,SE,5,-18.4349,-1.1574,-17.2774
scanner:AMD:big_move:2026-07-09,scanner,AMD,big_move,2026-07-09,US,5,-8.3736,-0.1317,-8.2419
scanner:ERIC-B.ST:big_move:2026-07-09,scanner,ERIC-B.ST,big_move,2026-07-09,SE,5,-14.6952,-1.1574,-13.5377
scanner:MORROW.ST:big_move:2026-07-09,scanner,MORROW.ST,big_move,2026-07-09,SE,5,0.3008,-1.1574,1.4582
scanner:ERIC-B.ST:big_move:2026-07-15,scanner,ERIC-B.ST,big_move,2026-07-15,SE,1,-1.5005,-0.0425,-1.458
scanner:MYCR.ST:big_move:2026-07-15,scanner,MYCR.ST,big_move,2026-07-15,SE,1,1.2731,-0.0425,1.3157
scanner:NCAB.ST:big_move:2026-07-15,scanner,NCAB.ST,big_move,2026-07-15,SE,1,1.3351,-0.0425,1.3776
scanner:HTRO.ST:volume_spike:2026-07-15,scanner,HTRO.ST,volume_spike,2026-07-15,SE,1,5.1389,-0.0425,5.1814
scanner:MYCR.ST:volume_spike:2026-07-15,scanner,MYCR.ST,volume_spike,2026-07-15,SE,1,1.2731,-0.0425,1.3157
scanner:GS:big_move:2026-07-15,scanner,GS,big_move,2026-07-15,US,1,-4.9138,-0.5419,-4.3719
scanner:GS:volume_spike:2026-07-15,scanner,GS,volume_spike,2026-07-15,US,1,-4.9138,-0.5419,-4.3719
scanner:MS:volume_spike:2026-07-15,scanner,MS,volume_spike,2026-07-15,US,1,-4.4542,-0.5419,-3.9123
scanner:SIVE.ST:big_move:2026-07-15,scanner,SIVE.ST,big_move,2026-07-15,SE,1,-10.2874,-0.0425,-10.2449
scanner:CSCO:big_move:2026-07-15,scanner,CSCO,big_move,2026-07-15,US,1,-1.8878,-0.5419,-1.3459
scanner:AMD:big_move:2026-07-15,scanner,AMD,big_move,2026-07-15,US,1,-5.3294,-0.5419,-4.7875
pead:JPM:entry:2026-07-15,pead,JPM,entry,2026-07-15,US,1,-1.0839,-0.5419,-0.542
pead:BAC:entry:2026-07-15,pead,BAC,entry,2026-07-15,US,1,-0.1624,-0.5419,0.3795
pead:GS:entry:2026-07-15,pead,GS,entry,2026-07-15,US,1,-4.9138,-0.5419,-4.3719
pead:MS:entry:2026-07-15,pead,MS,entry,2026-07-15,US,1,-4.4542,-0.5419,-3.9123
stocks:NOKIA-SEK.ST:buy:2026-06-18,stocks,NOKIA-SEK.ST,buy,2026-06-18,SE,20,-24.902,-0.9973,-23.9048
stocks:MORROW.ST:buy:2026-06-18,stocks,MORROW.ST,buy,2026-06-18,SE,20,9.1525,-0.9973,10.1498
stocks:VPLAY-B.ST:buy:2026-06-18,stocks,VPLAY-B.ST,buy,2026-06-18,SE,20,5.6445,-0.9973,6.6418
stocks:HTRO.ST:buy:2026-06-18,stocks,HTRO.ST,buy,2026-06-18,SE,20,10.4354,-0.9973,11.4327
stocks:ACAST.ST:buy:2026-06-18,stocks,ACAST.ST,buy,2026-06-18,SE,20,-7.2139,-0.9973,-6.2167
